ID,AltName,Age1,R_gc,X,Y,Z,v_r,+/-,v_gr,sig_v,[Fe/H],E(B-V),V_HB,(m-M)V,V_t,"M_V,t",U-B,B-V,V-R,V-I,ellip,L,B,Mstar,rh,C5
1636-283,,,2.1,8,-1.1,1.7,,,41.95286812,,-1.5,0.46,16.6,16.02,12,-4.02,,,,,,51.91,12.1,,,
2MS-GC01,,,4.5,3.5,0.7,0,,,-31.82180409,,,6.8,34.5,33.85,27.74,-6.11,,,,,,10.48,0.11,,,
2MS-GC02,,,3.2,4.9,0.8,-0.1,-238,36,-262.2817449,,-1.08,5.16,30.1,29.46,24.6,-4.86,,,,,,9.79,-0.61,,,
AM 1,,,124.6,-16.5,-80.1,-92.3,116,20,326.4083507,,-1.7,0,21,20.45,15.72,-4.73,,0.72,,,,58.34,-48.47,,,
AM 4,,,27.8,20.7,-17.2,17.8,,,151.5858422,,-1.3,0.05,18.3,17.69,15.88,-1.81,,,,,,20.28,33.51,,,
Arp 2,,,21.4,26.4,4,-10.2,115,10,89.92264515,,-1.75,0.1,18.13,17.59,12.3,-5.29,,0.86,,,,8.55,-20.79,,,
BH 176,,,12.9,16.1,-9.9,1.4,,,124.0458338,,0,0.54,18.86,18.06,14,-4.06,,,,,,28.41,4.34,,,
BH 261,,,1.7,6.5,0.4,-0.6,,,-3.011317609,,-1.3,0.36,15.8,15.19,11,-4.19,,,,,0.03,3.36,-5.27,,,
Djorg 1,,,5.7,13.6,-0.8,-0.6,-362.4,3.6,-338.8608736,,-1.51,1.58,21.15,20.58,13.6,-6.98,,,,,,56.69,-2.47,,,
Djorg 2,,,1.8,6.2,0.3,-0.3,,,0.198963812,,-0.65,0.94,17.6,16.9,9.9,-7,,,,,,2.77,-2.5,,,
E 3,,,9.1,2.9,-7.1,-2.6,,,203.839486,,-0.83,0.3,16.15,15.47,11.35,-4.12,,,,,,92.27,-19.02,,,
Eridanus,,,95,-53.2,-41.7,-59.5,-23.6,2.1,101.2727397,,-1.43,0.02,20.42,19.83,14.7,-5.13,,0.79,,,,18.1,-41.33,,,
ESO-SC06,,,14,20.4,-4.7,-4.7,,,57.9219288,,-1.8,0.07,17.4,16.87,12,-4.87,,,,,,46.9,-12.57,,,
FSR 1735,,,3.7,9.1,-3.5,-0.3,,,88.30562389,,,1.42,20,19.35,12.9,-6.45,,,,,,39.19,-1.85,,,
GLIMPSE01,,,4.9,3.6,2.2,0,,,-104.0795257,,,4.85,28.8,28.15,22.24,-5.91,,,,,,31.31,-0.1,,,
GLIMPSE02,,,3,5.4,1.4,-0.1,,,-44.03691514,,-0.33,7.85,38.8,38.05,,,,,,,,14.14,-0.64,,,
HP 1,,,0.5,8.2,-0.4,0.3,45.8,0.7,67.75439557,,-1,1.12,18.7,18.05,11.59,-6.46,,,,,,57.44,2.12,,,
IC 1257,,,17.9,23.2,6.9,6.5,-140.2,2.1,-190.2411737,,-1.7,0.73,19.8,19.25,13.1,-6.15,,1.38,,1.83,,16.54,15.15,,,
IC 1276,,,3.7,5,2,0.5,155.7,1.3,85.73871441,,-0.75,1.08,17.7,17.01,10.34,-6.67,1.03,1.76,,,,21.83,5.67,,,
IC 4499,,,15.7,10.7,-14,-6.6,31.5,0.2,208.9013958,2.5,-1.53,0.23,17.65,17.08,9.76,-7.32,0.45,0.91,,,0.08,07.35,-20.47,,,
Ko 1,,,49.3,-2.5,-15.7,45.6,,,229.4303072,,,0.01,19.1,18.45,17.1,-1.35,,,,,,60.99,70.75,,,
Ko 2,,,41.9,-30.2,-8.2,15,,,50.849984,,,0.08,18.6,17.95,17.6,-0.35,,,,,,95.12,25.54,,,
Liller 1,,,0.8,8.2,-0.7,0,52,15,81.58167824,,-0.33,3.07,24.84,24.09,16.77,-7.32,,,,,,54.84,-0.16,,,
Lynga 7,,,4.3,6.8,-4.1,-0.4,8,5,129.5766549,,-0.67,0.73,17.43,16.78,10.18,-6.6,,,,,,28.77,-2.8,,,
NGC104,47Tuc,12.8,7.4,1.9,-2.6,-3.1,-18,0.1,160.2704843,11,-0.72,0.04,14.06,13.37,3.95,-9.42,0.37,0.88,0.53,1.14,0.09,05.89,-44.89,6.46,7.1,0.92
NGC1261,Caldwell87,10.24,18.1,0.1,-10,-12.9,68.2,4.6,285.0277341,,-1.27,0.01,16.7,16.09,8.29,-7.8,0.13,0.72,0.45,0.93,0.07,70.54,-52.12,3.41,5.5,0.62
NGC1851,Dunlop508,7.64,16.6,-4.2,-8.9,-6.9,320.5,0.6,511.3977965,10.4,-1.18,0.02,16.09,15.47,7.14,-8.33,0.17,0.76,0.49,1.01,0.05,44.51,-35.03,5.51,3.05,1.81
NGC1904,M79,12,18.8,-7.7,-8.3,-6.3,205.8,0.4,356.4518393,5.3,-1.6,0.01,16.15,15.59,7.73,-7.86,0.06,0.65,0.44,0.91,0.01,27.23,-29.35,1.45,4.1,0.5
NGC2298,Dunlop578,12.4,15.8,-4.3,-9.4,-3,148.9,1.2,340.9102583,,-1.92,0.14,16.11,15.6,9.29,-6.31,0.17,0.75,0.54,1.11,0.08,45.63,-16,0.85,3.1,0.16
NGC2419,,,89.9,-74.7,-0.5,35.2,-20.2,0.5,-25.68516476,4,-2.15,0.08,20.31,19.83,10.41,-9.42,0.07,0.66,,1.05,0.03,80.37,25.24,,,
NGC2808,Dunlop265,11.2,11.1,2,-9.2,-1.9,101.6,0.7,315.503463,13.4,-1.14,0.22,16.22,15.59,6.2,-9.39,0.28,0.92,0.57,1.18,0.12,82.19,-11.25,12.3,3.8,3.24
NGC288,Melotte3,12.2,12,-0.1,0,-8.9,-45.4,0.2,-52.77425363,2.9,-1.32,0.03,15.44,14.84,8.09,-6.75,0.08,0.65,0.45,0.94,,52.3,-89.38,0.46,9.8,0.05
